name,date,level
ILLUMINANCE,02-23-2016,198.81
ILLUMINANCE,02-24-2016,135.48
ILLUMINANCE,02-25-2016,170.96
ILLUMINANCE,02-26-2016,219.93
ILLUMINANCE,02-27-2016,215.5
ILLUMINANCE,02-28-2016,194.56
ILLUMINANCE,02-29-2016,147.8
ILLUMINANCE,03-01-2016,170.96
ILLUMINANCE,03-02-2016,219.93
ILLUMINANCE,03-03-2016,215.5
ILLUMINANCE,03-04-2016,198.81
ILLUMINANCE,03-05-2016,135.48
ILLUMINANCE,03-06-2016,186.17
ILLUMINANCE,03-07-2016,127
ILLUMINANCE,03-08-2016,69.42
ILLUMINANCE,03-09-2016,71.34
ILLUMINANCE,03-10-2016,72.73
ILLUMINANCE,03-11-2016,215.5
ILLUMINANCE,03-12-2016,198.81
ILLUMINANCE,03-13-2016,198.81
ILLUMINANCE,03-14-2016,135.48
ILLUMINANCE,03-15-2016,186.17
ILLUMINANCE,03-16-2016,69.59
ILLUMINANCE,03-17-2016,69.42
ILLUMINANCE,03-18-2016,71.34
ILLUMINANCE,03-19-2016,72.73
ILLUMINANCE,03-20-2016,198.81
ILLUMINANCE,03-21-2016,135.48
ILLUMINANCE,03-22-2016,186.17
ILLUMINANCE,03-23-2016,127
ILLUMINANCE,03-24-2016,168.41
ILLUMINANCE,03-25-2016,132.69
ILLUMINANCE,03-26-2016,202.44
ILLUMINANCE,03-27-2016,194.56
ILLUMINANCE,03-28-2016,147.8
ILLUMINANCE,03-29-2016,170.96
ILLUMINANCE,03-30-2016,219.93
ILLUMINANCE,03-31-2016,170.96
ILLUMINANCE,04-01-2016,198.81
ILLUMINANCE,04-02-2016,135.48
ILLUMINANCE,04-03-2016,186.17
ILLUMINANCE,04-04-2016,69.42
ILLUMINANCE,04-05-2016,71.34
ILLUMINANCE,04-06-2016,72.73
ILLUMINANCE,04-07-2016,168.41
ILLUMINANCE,04-08-2016,198.81
ILLUMINANCE,04-09-2016,135.48
ILLUMINANCE,04-10-2016,186.17
ILLUMINANCE,04-11-2016,147.8
ILLUMINANCE,04-12-2016,170.96
HUMIDITY,02-23-2016,67.5
HUMIDITY,02-24-2016,69.07
HUMIDITY,02-25-2016,72.32
HUMIDITY,02-26-2016,70.19
HUMIDITY,02-27-2016,69.49
HUMIDITY,02-28-2016,70.19
HUMIDITY,02-29-2016,69.49
HUMIDITY,03-01-2016,71.04
HUMIDITY,03-02-2016,71.14
HUMIDITY,03-03-2016,79.78
HUMIDITY,03-04-2016,80.76
HUMIDITY,03-05-2016,72.32
HUMIDITY,03-06-2016,70.19
HUMIDITY,03-07-2016,69.49
HUMIDITY,03-08-2016,68.88
HUMIDITY,03-09-2016,70.9
